,年月日時,気温(℃),降水量(mm),現地気圧(hPa),相対湿度(％)
1,2016/4/1 1:00:00,13.3,0.0,1014.8,76.0
2,2016/4/1 2:00:00,13.8,0.0,1014.6,72.0
3,2016/4/1 3:00:00,13.0,0.0,1014.7,63.0
4,2016/4/1 4:00:00,12.2,0.0,1014.9,67.0
5,2016/4/1 5:00:00,11.2,0.0,1015.4,69.0
6,2016/4/1 6:00:00,10.8,0.0,1016.4,67.0
7,2016/4/1 7:00:00,12.1,0.0,1017.0,56.0
8,2016/4/1 8:00:00,13.8,0.0,1017.2,50.0
9,2016/4/1 9:00:00,15.3,0.0,1017.7,45.0
10,2016/4/1 10:00:00,16.7,0.0,1017.4,44.0
11,2016/4/1 11:00:00,16.9,0.0,1017.5,43.0
12,2016/4/1 12:00:00,17.2,0.0,1017.2,47.0
13,2016/4/1 13:00:00,17.0,0.0,1017.0,48.0
14,2016/4/1 14:00:00,15.7,0.0,1016.9,49.0
15,2016/4/1 15:00:00,14.3,0.0,1017.5,58.0
16,2016/4/1 16:00:00,13.0,0.0,1017.9,61.0
17,2016/4/1 17:00:00,12.2,0.0,1018.5,65.0
18,2016/4/1 18:00:00,11.4,0.0,1019.0,67.0
19,2016/4/1 19:00:00,11.1,0.0,1020.0,68.0
20,2016/4/1 20:00:00,10.9,0.0,1020.9,63.0
21,2016/4/1 21:00:00,9.5,0.0,1021.3,81.0
22,2016/4/1 22:00:00,8.5,1.5,1021.5,83.0
23,2016/4/1 23:00:00,8.2,1.0,1021.6,82.0
24,2016/4/2 00:00:00,8.4,0.0,1021.8,80.0
25,2016/4/2 1:00:00,8.2,1.0,1021.9,81.0
26,2016/4/2 2:00:00,8.1,0.0,1022.1,78.0
27,2016/4/2 3:00:00,8.4,0.5,1021.8,76.0
28,2016/4/2 4:00:00,8.8,0.0,1022.3,72.0
29,2016/4/2 5:00:00,8.8,0.0,1022.6,69.0
30,2016/4/2 6:00:00,8.9,0.0,1023.1,67.0
31,2016/4/2 7:00:00,9.2,0.0,1023.7,61.0
32,2016/4/2 8:00:00,9.7,0.0,1024.0,61.0
33,2016/4/2 9:00:00,9.8,0.0,1024.5,62.0
